CompanyName,URL,WebSales2016,MerchadiseCategory,MerchantType,DateVisited,TimeVisited,NumberofpagescapturedPDF,Product,Price_Text,TotalNumber_DeliberationFeatures,TotalNumber_ImpulseFeatures,feature_othersboughtrecommendations,feature_othersviewedrecommendations,feature_saveforlaterlist,feature_similarproductsrecommendations,feature_addonrecommendations,feature_bestseller,feature_cartcheckoutpopup,feature_discountforaddonproducts,feature_discountforautoreorder,feature_discountforemailaddress,feature_discountforfirstpurchasenotemailaccount,feature_discountpromocodenotshippingnotgifts,feature_discountedprice,feature_donationwithpurchase,feature_easycredit,feature_exclusiveprice,feature_exclusiveproduct,feature_externaladssponsoredproducts,feature_freecancellationreservations,feature_freegiftwithpurchase,feature_generalrecommendations,feature_generalwishlist,feature_helpfulnothelpfulreviewvoting,feature_interactivity,feature_internalads,feature_limitedtimediscountnoclock,feature_limitedtimediscountwcountdownclock,feature_limitedtimeproductavailabilitynoclock,feature_limitedtimeproductavailabilitywcountdownclock,feature_limitedquantityforsalenotlowstock,feature_lockindiscountnow,feature_lowstockwarning,feature_memberrewardsprogramdiscounts,feature_multipleproductpictures,feature_negativereviewhighlighted,feature_ExpeditedShipping_nextdayshipping_child,feature_numberofcustomersinterested,feature_numberofratingsreviews,feature_numbersoldor#customersbought,feature_orderdeadlineforshipping,feature_personalizationquiz,feature_personalizedrecommendations,feature_positivereviewhighlighted,feature_previewproductspecs,feature_pricealerts,feature_pricematchguarantee,feature_productcollectionforbrowsing,feature_productcomparison,feature_productQAsection,feature_quickaddtocart,feature_quickcheckout,feature_quickview,feature_ratingdistribution,feature_referraldiscount,feature_requiresaccounttocheckout,feature_salepagelist,feature_ExpeditedShipping_samedayshipping_child,feature_seeingthatfriendsknownothersbought,feature_sellingFast,feature_sharecartorproductnocounter,feature_sharecartorproductwithcounter,feature_showingrealpeopleusingproductnotmodelscelebs,feature_showsproductratingsreviews,feature_soldoutbackordered,feature_storepickup,feature_sweepstakeswithpurchase,feature_thirdpartyseal,feature_trialperiod,feature_videoanimation,feature_virtualdressingroom,feature_returnsrefunds,feature_ExpeditedShipping_PARENT,feature_discountedshippingmin,Theme_Deliberation_COUNT,Theme_AddOnBenefit_COUNT,Theme_Advertising_COUNT,Theme_Browsing_COUNT,Theme_Investment_COUNT,Theme_LowerRisk_COUNT,Theme_PerceivedScarcity_COUNT,Theme_PhysicalProximity_COUNT,Theme_ShoppingMomentum_COUNT,Theme_SocialInfluence_COUNT,Theme_TemporalProximity_COUNT,Theme_Urgency_COUNT
Macy's Inc.,www.macys.com,1 billion+,Mass Merchant,Retail Chain,4/25/18,14:40:00,9,Pillow,$19.99 ,3,34,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,3,1,2,5,0,7,2,3,3,3,5,3
OpticsPlanet Inc.,www.opticsplanet.com,$250M-$500M,Sporting Goods,Web Only,4/29/18,23:00:00,11,Sunglasses,$1.69 ,4,34,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,4,1,0,3,1,9,3,4,2,5,3,3
Amazon,www.amazon.com,1 billion+,Mass Merchant,Web Only,4/24/18,15:30:00,7,Book,$4.71 ,6,33,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,6,1,2,5,1,6,1,4,3,5,3,3
Newegg Inc.,www.newegg.com,1 billion+,Computers/Electronics,Web Only,4/26/18,12:10:00,13,Game,$53.99 ,3,32,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,3,1,2,2,2,8,2,3,1,6,3,2
Target Corp.,www.target.com,1 billion+,Mass Merchant,Retail Chain,4/25/18,15:45:00,10,Dog Toy,$1.79 ,3,31,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,3,1,2,4,0,4,4,2,3,5,3,3
Office Depot Inc.,www.officedepot.com,1 billion+,Office Supplies,Retail Chain,4/25/18,14:25:00,11,Pens,$1.59 ,2,30,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,2,0,2,4,0,6,3,2,2,5,3,2
J.C. Penney Co. Inc.,www.jcpenney.com,1 billion+,Apparel/Accessories,Retail Chain,4/26/18,15:35:00,9,Wallet,$4.00 ,3,30,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,3,1,2,2,1,7,4,2,3,4,3,2
eBay,www.ebay.com,1 billion+,Mass Merchant,Web Only,4/24/18,14:15:00,9,Scarf,$7.99 ,2,29,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,2,0,2,3,0,5,2,3,2,6,3,2
American Eagle,www.ae.com,$500M-$1billion,Apparel/Accessories,Retail Chain,4/27/18,17:30:00,8,Earrings,$9.57 ,1,28,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,2,1,5,0,4,2,2,3,5,3,1
MidwayUSA Inc.,www.midwayusa.com,$250M-$500M,Sporting Goods,Web Only,4/28/18,15:45:00,11,T-Shirt,$8.48 ,1,28,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,2,1,5,1,4,3,5,3,3
